sp_num,sp_name,sp_ori_name,sp_pr_code
231,/2024/05/13/slides_08_08_03.png,slides_08_08_03.png,SFP6604PNXE
232,/2024/05/13/slides_08_09_01.png,slides_08_09_01.png,SI964PM
233,/2024/05/13/slides_08_09_02.png,slides_08_09_02.png,SI964PM
234,/2024/05/13/slides_08_09_03.png,slides_08_09_03.png,SI964PM
235,/2024/05/13/slides_08_10_01.png,slides_08_10_01.png,SI964XM
236,/2024/05/13/slides_08_10_02.png,slides_08_10_02.png,SI964XM
237,/2024/05/13/slides_08_10_03.png,slides_08_10_03.png,SI964XM
238,/2024/05/13/slides_08_11_01.png,slides_08_11_01.png,SIM1643DS
239,/2024/05/13/slides_08_11_02.png,slides_08_11_02.png,SIM1643DS
240,/2024/05/13/slides_08_11_03.png,slides_08_11_03.png,SIM1643DS
241,/2024/05/13/slides_08_12_01.png,slides_08_12_01.png,SIM1643DS
242,/2024/05/13/slides_08_12_02.png,slides_08_12_02.png,SIM1643DS
243,/2024/05/13/slides_08_12_03.png,slides_08_12_03.png,SIM1643DS
244,/2024/05/13/slides_09_01_01.png,slides_09_01_01.png,KLF-4WHEU
245,/2024/05/13/slides_09_01_02.png,slides_09_01_02.png,KLF-4WHEU
246,/2024/05/13/slides_09_01_03.png,slides_09_01_03.png,KLF-4WHEU
247,/2024/05/13/slides_09_02_01.png,slides_09_02_01.png,KLF03CREU
248,/2024/05/13/slides_09_02_02.png,slides_09_02_02.png,KLF03CREU
249,/2024/05/13/slides_09_02_03.png,slides_09_02_03.png,KLF03CREU
250,/2024/05/13/slides_09_03_01.png,slides_09_03_01.png,KLF04CREU
251,/2024/05/13/slides_09_03_02.png,slides_09_03_02.png,KLF04CREU
252,/2024/05/13/slides_09_03_03.png,slides_09_03_03.png,KLF04CREU
253,/2024/05/13/slides_09_04_01.png,slides_09_04_01.png,KLF05CREU
254,/2024/05/13/slides_09_04_02.png,slides_09_04_02.png,KLF05CREU
255,/2024/05/13/slides_09_04_03.png,slides_09_04_03.png,KLF05CREU
256,/2024/05/13/slides_09_05_01.png,slides_09_05_01.png,KLF03GOEU
257,/2024/05/13/slides_09_05_02.png,slides_09_05_02.png,KLF03GOEU
258,/2024/05/13/slides_09_05_03.png,slides_09_05_03.png,KLF03GOEU
259,/2024/05/13/slides_09_06_01.png,slides_09_06_01.png,KLF03RGEU
260,/2024/05/13/slides_09_06_02.png,slides_09_06_02.png,KLF03RGEU
261,/2024/05/13/slides_09_06_03.png,slides_09_06_03.png,KLF03RGEU
262,/2024/05/13/slides_09_07_01.png,slides_09_07_01.png,KLF03CHMEU
263,/2024/05/13/slides_09_07_02.png,slides_09_07_02.png,KLF03CHMEU
264,/2024/05/13/slides_09_07_03.png,slides_09_07_03.png,KLF03CHMEU
265,/2024/05/13/slides_09_08_01.png,slides_09_08_01.png,KLF03PGEU
266,/2024/05/13/slides_09_08_02.png,slides_09_08_02.png,KLF03PGEU
267,/2024/05/13/slides_09_08_03.png,slides_09_08_03.png,KLF03PGEU
268,/2024/05/13/slides_09_09_01.png,slides_09_09_01.png,KLF04PGEU
269,/2024/05/13/slides_09_09_02.png,slides_09_09_02.png,KLF04PGEU
270,/2024/05/13/slides_09_09_03.png,slides_09_09_03.png,KLF04PGEU
271,/2024/05/13/slides_09_10_01.png,slides_09_10_01.png,KLF05PGEU
272,/2024/05/13/slides_09_10_02.png,slides_09_10_02.png,KLF05PGEU
273,/2024/05/13/slides_09_10_03.png,slides_09_10_03.png,KLF05PGEU
274,/2024/05/13/slides_09_11_01.png,slides_09_11_01.png,KLF05PBEU
